id	author1	author1_normalized	author2	author3	author4	author_authorized_heading	author_lccn	author_viaf	author_wikidata_qid	date	htid	hathi_rights	title	imprint	isbn	isbn_most_common_edition	lccn	oclc	oclc_owi	oclc_eholdings	oclc_holdings	person_id	place	publisher_marc
6141	Warren, Robert Penn 1905-1989	Warren, Robert Penn				Warren, Robert Penn, 1905-1989	n78091524	61553765	Q312720	1962	uva.x000204923	und	The circus in the attic, and other stories.	Harcourt, Brace [1962]	[]		[]	['1740051,4662010']	52424282	37	1162	4365	nyu	Harcourt, Brace
6142	Grumbach, Doris.	Grumbach, Doris				Grumbach, Doris	n81003532	59245122	Q5297938	1962	uva.x000039467	pdus	The spoil of the flowers.	Doubleday, 1962.	[]		['62015931']	['1375889']	2294656	16	77	3640		Doubleday
6143	Haldeman, Joe W.	Haldeman, Joe W.				Haldeman, Joe W.	n50018607	59083671	Q347461	2007	uva.x030285025	ic	The accidental time machine / Joe Haldeman.	Ace Books, 2007.	['0441014992,9780441014996']	9780441014996	['2007006935']	['84903770']	68953618	53	1040	863	nyu	Ace Books
6144	McGalliard, John Calvin.	McGalliard, John Calvin				McGalliard, John Calvin.		48149486034193422791		1930	uva.x000196991	ic	Classical mythology in certain mediaeval treatments of the legends of Troy, Thebes, and Aeneas : a study in the literary paganism of the Middle Ages / by John Calvin McGalliard.	1930	[]		[]	['2959792']	1864296392	0	6	3184	mau	
6145	Prose, Francine 1947-	Prose, Francine				Prose, Francine, 1947-	n50020196	112469802	Q2427599	2002	uva.x004721987	ic	The lives of the muses : nine women & the artists they inspired / Francine Prose.	Aurum, 2003, c2002.	['1854109448']	0060196726	[]	['56348529']	887745	86	1233	3204	enk	Aurum
6146	Hall, Oakley M.	Hall, Oakley M.				Hall, Oakley M.	n79134992	42004776	Q7074155	2001	uva.x004561425	ic	Ambrose Bierce and the death of kings / Oakley Hall.	Viking, 2001.	['0670030074 (alk. paper)']	0670030074	['2001017990']	['46472039']	6122478	10	292	17	nyu	Viking
6147	Foster, Patricia 1948-	Foster, Patricia				Foster, Patricia, 1948-	n00023569	79369105		2000	uva.x004420623	ic	All the lost girls : confessions of a southern daughter / Patricia Foster.	University of Alabama Press, c2000.	['0817310479 (alk. paper)']	0585382123	['00008355']	['43474646']	800055220	1555	322	3102	alu	University of Alabama Press
6148	Dobyns, Stephen 1941-	Dobyns, Stephen				Dobyns, Stephen, 1941-	n50027452	85546337	Q7609076	1998	uva.x004224102	ic	Saratoga strongbox : a Charlie Bradshaw mystery / Stephen Dobyns.	Viking, 1998.	['0670876925 (alk. paper)']	0670876925	['98002886']	['38389730']	567262	14	492	287	nyu	Viking
6149	Hall, Oakley M.	Hall, Oakley M.				Hall, Oakley M.	n79134992	42004776	Q7074155	1996	uva.x004066790	ic	Warlock / Oakley Hall.	University of Nevada Press, 1996.	['0874172683 (acid-free paper)']	9781590171615	['95000965']	['31971192']	1433654	53	1062	17	nvu	University of Nevada Press
6150	Graham, Jorie 1950-	Graham, Jorie				Graham, Jorie, 1950-	n80002893	112072294	Q6278867	1996	uva.x006040742	ic	The dream of the unified field : selected poems, 1974-1994 / Jorie Graham.	Carcanet, 1996.	['1857542258 (pbk) :']	0880014385	['gb 96023882']	['60307004']	9577840	24	1304	1074	enk	Carcanet
6151	Irving, John 1942-	Irving, John				Irving, John, 1942-	n79135330	108238891	Q310379	1986	uva.x002532833	ic	The Hotel New Hampshire / John Irving.	Black Swan, 1986, c1981.	['0552992097 (pbk) :']	052512800X	['gb 86022949']	['14358113,59203266']	614234	141	4230	86	enk	Black Swan
6152	Hejinian, Lyn.	Hejinian, Lyn	Zasterle Press publisher.	Jerome McGann Library (University of Virginia)		Hejinian, Lyn	n82071099	44325651	Q6708326	1991	uva.x002107670	ic	The hunt / Lyn Hejinian.	Zasterle Press, 1991.	[]		[]	['24360539']	2864402135	2	33	3672	sp	Zasterle Press
6153	McPherson, James Alan 1943-2016	McPherson, James Alan				McPherson, James Alan, 1943-2016	n86107938	112082623	Q355793	1969	uva.x000139981	ic	Hue and cry : short stories / by James Alan McPherson.	Fawcett Crest, 1969.	['0449241920']		[]	['6063598']	486021	32	968	592	nyu	Fawcett Crest
6154	Hall, Oakley M.	Hall, Oakley M.				Hall, Oakley M.	n79134992	42004776	Q7074155	1955	umn.31951002363099g	ic	The pawns of fear : a novel / by Jason Manor [pseud.].	Viking Press, 1955.	[]		['55005870']	['1807376']	54081816	1	49	17	nyu	Viking Press
6155	Schramm, Wilbur Lang 1907-	Schramm, Wilbur Lang				Schramm, Wilbur, 1907-1987	n79132416	110258866	Q8000236	1965	txu.059173025353049	ic	Desarrollo de la comunicacioÌn y desarrollo econoÌmico, por Wilbur Schramm. [TraduccioÌn: JoseÌ J. FernaÌndez]	Instituto Interamericano de Ciencias AgriÌcolas de la OEA, 1965.	[]		[]	['23709271']				4324	cr	Instituto Interamericano de Ciencias Agrícolas de la OEA
6156	Kidder, Tracy.	Kidder, Tracy				Kidder, Tracy	n81040847	52278563	Q338109	1974	txu.059173024375910	ic	The road to Yuba City; a journey into the Juan Corona murders.	Doubleday, 1974.	[]	0385028652	[]	['1180080']	1862618231	11	254	790	nyu	Doubleday
6157	Schramm, Wilbur Lang 1907-	Schramm, Wilbur Lang				Schramm, Wilbur, 1907-1987	n79132416	110258866	Q8000236	1971	txu.059173025459301	ic	TelevisioÌn y reforma educativa en El Salvador / Schramm.	s.n., 1971?]	[]		[]	['17023766']	1812600621	3	3	4324	xx	s.n.
6158	Castellanos Moya, Horacio 1957-	Castellanos Moya, Horacio				Castellanos Moya, Horacio, 1957-	n80087278	10068135	Q719545	1981	txu.059173027943101	ic	QueÌ signo es usted, ninÌƒa Berta? / Horacio Castellanos Moya.	Editorial Guaymuras, 1981.	[]		[]	['9510734']	21678826	6	52	3100	ho	Editorial Guaymuras
6159	Castellanos Moya, Horacio 1957-	Castellanos Moya, Horacio				Castellanos Moya, Horacio, 1957-	n80087278	10068135	Q719545	2008	txu.059173033060308	ic	Tirana memoria / Horacio Castellanos Moya.	TusQuets Editores, 2008.	['8483830892,9788483830895']	9780811219174	[]	['244068648']	141926429	26	517	3100	sp	TusQuets Editores
6160	Castellanos Moya, Horacio 1957-	Castellanos Moya, Horacio				Castellanos Moya, Horacio, 1957-	n80087278	10068135	Q719545	1993	txu.059172130754070	ic	El gran masturbador : relatos / Horacio Castellanos Moya.	Ediciones Arcoiris, 1993.	[]		['93219128']	['28704284']	910226101	2	28	3100	es	Ediciones Arcoiris
6161	Castellanos Moya, Horacio 1957-	Castellanos Moya, Horacio				Castellanos Moya, Horacio, 1957-	n80087278	10068135	Q719545	2000	txu.059173006505864	ic	El asco : tres relatos violentos / Horacio Castellanos Moya.	Editorial Casiopea, c2000.	['8495446049']	8495446049	['2001352539']	['46785486']	3372875709	2	44	3100	sp	Editorial Casiopea
6162	Castellanos Moya, Horacio 1957-	Castellanos Moya, Horacio				Castellanos Moya, Horacio, 1957-	n80087278	10068135	Q719545	1980	txu.059173027908814	ic	Breve panorama de la literatura salvadorenÌƒa / Horacio Castellanos Moya.	"Escuela Superior del Profesorado ""Francisco MorazaÌn"", 1980."	[]		[]	['10868726']	3166218	2	1	3100	ho	"Escuela Superior del Profesorado ""Francisco Morazán"""
6163	Schramm, Wilbur Lang 1907-	Schramm, Wilbur Lang				Schramm, Wilbur, 1907-1987	n79132416	110258866	Q8000236	1964	txu.059173027880952	ic	Urbanization and the spread of information / Wilbur Schramm.	Instituto Torcuato Di Tella, Centro de SociologiÌa Comparada, 1964.	[]		[]	['4696552']	148446949	1	5	4324	ag	Instituto Torcuato Di Tella, Centro de Sociología Comparada
6164	Marshall, Paule 1929-	Marshall, Paule				Marshall, Paule, 1929-2019	n82051028	108676051	Q3898198	1970	txu.059173018669235	ic	The chosen place, the timeless people / Paule Marshall.	Longman, 1970, c1969.	['0582101131']	0394726332	[]	['7029935']	452045	36	1335	3680	enk	Longman
6165	Cisneros, Sandra.	Cisneros, Sandra				Cisneros, Sandra	n84021632	112460612	Q434164	1984	txu.059173017242552	ic	The house on Mango Street / by Sandra Cisneros.	Arte PuÌblico Press, 1983, c1984.	['0934770204 (pbk.)']	0679734775	['82072278']	['10361038']	862349	354	6424	1061	txu	Arte Público Press
6166	Griffith, Paul 1921-	Griffith, Paul				Griffith, Paul, 1921-1983	n83238832	6321053		1950	osu.32435004913141	pdus	The mare's nest.	Macmillan, 1950.	[]		['50009699']	['1748357']	2765900841	8	24	4333	nyu	
6167	Gerber, John C.	Gerber, John C.				Gerber, John C.	n50016298	76341102		9999	umn.31951p00616039a	ic	The teaching of English at the University of Iowa : the first hundred years, 1861-1961 / John C. Gerber.	Maecenas Press : Distributor, Publications Order Dept., University of Iowa, Â©1995-	['0944266215 (v. 1) :']	0944266215	['94042955']	['31607733']	33355147	1	15	4342	iau	Maecenas Press :
6168	Perelman, Robert Lawrence.	Perelman, Robert Lawrence								1990	uc1.c3365238	ic	The illegible narratives of modernist genius : Pound, Zukofsky, Stein, and Joyce / by Robert Lawrence Perelman.	1990	[]		[]	['26521898']				674	cau	
6169	Veeder, William R.	Veeder, William R.				Veeder, William R.	n82018506	108435215	Q8019701	1969	uc1.c2973215	ic	Watch and Ward: the mixed beginning.	1969	[]		[]	['29453654']				197	xx	
6170	Tate, James 1943-	Tate, James				Tate, James, 1943-2015	n78094025	57136	Q531155	1999	mdp.39015042086879	ic	The route as briefed / James Tate.	University of Michigan Press, c1999.	['0472066919 (pbk. : alk. paper),0472096915 (alk. paper)']	0472096915	['99021653']	['40869799']	20854928	2	272	345	miu	University of Michigan Press
6171	Levis, Larry.	Levis, Larry	Levine, Philip 1928-			Levis, Larry	n80144979	92054633	Q6490699	1997	mdp.39015040064951	ic	Elegy / Larry Levis ; edited with a foreword by Philip Levine.	University of Pittsburgh Press, c1997.	['0822956489 (pbk. : acid-free paper),0822940434 (acid-free paper)']	9780822990987	['97021097']	['37141106']	626985	1157	306	4397	pau	University of Pittsburgh Press
6172	Harrison, Colin 1960-	Harrison, Colin				Harrison, Colin, 1960-	n88177727	39476338	Q1108495	1990	pst.000031509787	ic	Break and enter / Colin Harrison.	Avon Books, [1991], c1990.	['0380715260']	0517572818	['89028119']	['23822807']	19105784	40	655	1675	xxu	Avon Books
6173	Haldeman, Joe W.	Haldeman, Joe W.				Haldeman, Joe W.	n50018607	59083671	Q347461	1978	pst.000021387425	ic	Study war no more / edited by Joe Haldeman.	Avon, 1978.	['0380405199']	0312773153	['77009517']	['12326177']	429966533	11	290	863	xx	Avon
6174	Bly, Robert.	Bly, Robert				Bly, Robert	n79054927	79847862	Q472507	1967	pst.000065788844	ic	The light around the body / Robert Bly.	Harper & Row, 1985, c1967.	['9780060907860 (pbk.)', '006090786X (pbk.) :']		['84048640']	['24311311']	1475672	24	1379	5	nyu	Harper & Row
6175	Cheever, John.	Cheever, John				Cheever, John	n78089819	2468135	Q336151	1981	pst.000006921279	ic	The stories of John Cheever.	Ballantine Books, 1981.	['0345284364']	0394500873	[]	['78761320']	196694548	164	4091	3660	xx	Ballantine Books
6176	Cheever, John.	Cheever, John				Cheever, John	n78089819	2468135	Q336151	1978	pst.000065312254	ic	Bullet Park / John Cheever.	Ballantine Books, 1978.	[]	0394418190	[]	['4264733']	198863064	156	2766	3660	xx	Ballantine Books
6177	Gardner, John 1933-1982	Gardner, John				Gardner, John, 1933-1982	n79056152	2470610	Q1381985	1958	pst.000056000573	ic	The old men / by John C. Gardner, Jr.	1958	[]		[]	['4725221']	148034834	2	24	3286	miu	
6178	Mott, Frank Luther 1886-1964	Mott, Frank Luther				Mott, Frank Luther, 1886-1964	n82242614	54273373	Q3751858	1953	ien.35556000559252	pdus	100 books on American journalism.	University of Missouri, 1953.	[]		['a  53009656 /L']	['5344453']	3903438	8	57	4330	mou	University of Missouri
6179	Schramm, Wilbur Lang 1907-	Schramm, Wilbur Lang	Unesco			Schramm, Wilbur, 1907-1987	n79132416	110258866	Q8000236	1968	inu.30000044595753	ic	Communication satellites for education, science and culture, by Wilbur Schramm.	Unesco [c1968]	[]		['72180952']	['272321']	147316939	3	192	4324	fr	Unesco
6180	Turco, Lewis.	Turco, Lewis				Turco, Lewis	n77009242	41868730	Q6537125	1981	inu.30000114313111	ic	American still lifes : poems / by Lewis Turco ; [cover design and illustrations by George O'Connell]	Mathom, 1981.	[]		[]	['7880034']	1009981631	2	68	3162	nyu	Mathom
6181	Cassill, R. V. (Ronald Verlin) 1919-2002	Cassill, R. V.				Cassill, R. V. (Ronald Verlin), 1919-2002	n80079531	111150507	Q7365357	1969	inu.30000112145630	ic	An iron time: statements and reiterations; essays.	Purdue Research Foundation] 1969.	[]		[]	['42915770']	3769671585	2	3	3349	inu	Purdue Research Foundation]
6182	Smiley, Jane.	Smiley, Jane				Smiley, Jane	n79143875	19714915	Q441067	1988	inu.30000114587714	ic	Catskill crafts : artisans of the Catskill Mountains / by Jane Smiley.	Crown Publishers, c1988.	['0517567008']	0517567008	['87008996']	['15550093']	9750262	16	186	969	nyu	Crown Publishers
6183	Bly, Robert.	Bly, Robert				Bly, Robert	n79054927	79847862	Q472507	1979	inu.30000112134394	ic	What the fox agreed to do : four poems / Robert Bly.	Croissant, c1979.	['091234802X']	091234802X	[]	['6013766']	1044293926	2	54	5	ohu	Croissant
6184	Schramm, Wilbur Lang 1907-	Schramm, Wilbur Lang				Schramm, Wilbur, 1907-1987	n79132416	110258866	Q8000236	1973	inu.30000114401056	ic	Instructional television in the educational reform of El Salvador [by] Wilbur Schramm.	Information Center on Instructional Technology, 1973.	[]		['74184392']	['1303469']	313646200	2	36	4324	dcu	Information Center on Instructional Technology
6185	Stafford, William 1914-1993	Stafford, William	Stafford, Barbara.	Bell, Marvin 1937-	Honeybrook Press	Stafford, William, 1914-1993	n50023886	110362789	Q2580632	1988	inu.30000114301041	ic	Annie-over : poems / by William Stafford and Marvin Bell ; drawings by Barbara Stafford.	Honeybrook Press, 1988.	['0917005228 :']	091700521X	[]	['19035480']	1044756282	2	33	3375	idu	Honeybrook Press
6186	Will, Frederic.	Will, Frederic				Will, Frederic	n79089755	29549500	Q5497167	1993	inu.30000114156668	ic	Trips of the psyche / Frederic Will.	E. Mellen Press, c1993.	['0773430407']	0773430407	['93007833']	['27894647']	349740	2	39	4345	nyu	E. Mellen Press
6187	Gardner, John 1933-1982	Gardner, John				Gardner, John, 1933-1982	n79056152	2470610	Q1381985	1980	inu.30000114173564	ic	The temptation game / John Gardner.	New London Press, c1980.	[]	089683039X	[]	['7126009']	3943742253	1	39	3286	xx	New London Press
6188	Dana, Robert 1929-	Dana, Robert				Dana, Robert, 1929-2010	n80082479	52988742	Q7343383	1994	inu.30000114182821	ic	Yes, everything : new poems / by Robert Dana.	Another Chicago Press, c1994.	['0929968360 (pbk.) :,0929968379 :']	0929968379	['93036543']	['28926821']	323058328	2	92	3373	ilu	Another Chicago Press
6189	Wilson, Angus 1913-1991	Wilson, Angus				Wilson, Angus, 1913-1991	n50015503	99853190	Q287460	1952	uc1.b3335470	ic	Hemlock and after.	Secker & Warburg [1952]	[]	0586049037	['52041131']	['1319012']	813680	21	1076	3616	enk	Secker & Warburg
6190	Engle, Paul 1908-1991	Engle, Paul				Engle, Paul, 1908-1991	n79084424	111240117	Q7150503	1939	uc1.b3687455	und	Corn	Doubleday, Doran & co., inc., 1939.	[]		['39027484']	['758124']	290386077	1	292	3083	nyu	Doubleday, Doran & co., inc.
6191	Mott, Frank Luther 1886-1964	Mott, Frank Luther				Mott, Frank Luther, 1886-1964	n82242614	54273373	Q3751858	1928	uc1.b3529437	pdus	American magazines, 1865-1880.	The Midland press, 1928.	[]		['28013248']	['9013441']	43221636	0	51	4330	iau	The Midland press
6192	Prose, Francine 1947-	Prose, Francine				Prose, Francine, 1947-	n50020196	112469802	Q2427599	1993	coo.31924066858949	ic	Household saints / Francine Prose.	Ivy Books, 1993, c1981.	['0804111650']	0312393415	['80029116']	['28738338']	352216	214	736	3204	nyu	Ivy Books
6193	Will, Frederic.	Will, Frederic				Will, Frederic	n79089755	29549500	Q5497167	1965	uc1.$b746523	ic	Flumen historicum:	University of North Carolina Press, 1965.	[]		['65064977']	['808354923']	286362122	11	257	4345	ncu	University of North Carolina Press
6194	Kidder, Tracy.	Kidder, Tracy				Kidder, Tracy	n81040847	52278563	Q338109	2003	mdp.39076002656440	ic	Mountains beyond mountains / Tracy Kidder.	Random House Trade Paperbacks, c2004, c2003.	['9780812973013 (tr. pbk.)', '0812973011 (tr. pbk.)', '9780606313476', '0606313478']	0375506160	[]	['60527236']	18989	459	4337	790	nyu	Random House Trade Paperbacks
6195	Hemley, Robin 1958-	Hemley, Robin				Hemley, Robin, 1958-	n87871157	53216269	Q7352460	1994	mdp.39076002643406	ic	Turning life into fiction / Robin Hemley.	Story Press, c1994.	['9781884910005', '1884910009 :']	1884910009	['94018986']	['30509358']	620790	24	717	1365	ohu	Story Press
6196	Unsworth, Barry 1930-2012	Unsworth, Barry				Unsworth, Barry, 1930-2012	n82157881	54168450	Q715796	1982	mdp.39076002944333	ic	The rage of the vulture / Barry Unsworth.	Houghton Mifflin Co., 1983, c1982.	['9780395325261', '0395325269']	0395325269	['82023249']	['9084675']	469254	20	584	3620	mau	Houghton Mifflin Co.
6197	Mukherjee, Bharati.	Mukherjee, Bharati				Mukherjee, Bharati	n50004570	76348204	Q4357833	1993	mdp.39076001348916	ic	The holder of the world / Bharati Mukherjee.	Knopf, 1993.	['0394588460 :']	0394588460	['93022066']	['27641604']	9438502962	61	1376	87	nyu	Knopf
6198	Bly, Robert.	Bly, Robert				Bly, Robert	n79054927	79847862	Q472507	1983	pst.000024557122	ic	The man in the black coat turns : poems / by Robert Bly.	Penguin Books, 1983.	['0140423036 (pbk.)']	0385271867	['82018876']	['8866499']	18455008	14	871	5	xxk	Penguin Books
6199	Notley, Alice 1945-	Notley, Alice				Notley, Alice, 1945-	n81121670	34733545	Q4726035	1984	uc1.b4447002	ic	Sorrento / Alice Notley.	Sherwood Press, 1984.	[]		[]	['13286389']	7474695	2	47	538	cau	Sherwood Press
6200	Glancy, Diane.	Glancy, Diane				Glancy, Diane	n85814699	93980865	Q5271470	1984	uc1.b4439455	ic	Brown Wolf leaves the res & other poems / by Diane Glancy.	The Blue Cloud Quarterly Press, 1984.	[]		[]	['11732728']	4584034	1	40	1837	sdu	The Blue Cloud Quarterly Press
6201	Drexler, Rosalyn.	Drexler, Rosalyn				Drexler, Rosalyn	n78095567	33183965	Q7367281	1969	uc1.b4439276	ic	The investigation; &, Hot buttered roll.	Methuen, 1969.	['041615560X']	041615560X	['73482323']	['87888']	19834835	1	106	3688	enk	Methuen
6202	Dodd, Susan M. 1946-	Dodd, Susan M				Dodd, Susan M., 1946-	n84012778	269941755		1988	uc1.b4422297	ic	Mamaw / Susan Dodd.	Viking, 1988.	['0670821802']	0670821802	['87040661']	['17412093']	15583592	19	569	3697	nyu	Viking
6203	Bell, Marvin 1937	Bell, Marvin				Bell, Marvin, 1937-	n50006519	12325040	Q6778291	1984	uc1.b4421741	ic	Drawn by stones, by earth, by things that have been in the fire : poems / Marvin Bell.	Atheneum, 1984.	['0689114664 (hard) :', '0689114672 (pbk.) :']	0689114672	['83072998']	['10533031']	4159825358	162	369	158	nyu	Atheneum
6204	Watten, Barrett.	Watten, Barrett				Watten, Barrett	n82098643	94690309	Q4863448	1980	uc1.b4366095	ic	1-10 / Barrett Watten.	This ; distributed by Small Press Distribution, c1980.	[]		[]	['6756989']	23736357	10	52	692	xx	This ;
6205	Castellanos Moya, Horacio 1957-	Castellanos Moya, Horacio				Castellanos Moya, Horacio, 1957-	n80087278	10068135	Q719545	1987	uc1.b4363129	ic	Perfil de prÃ³fugo / Horacio Castellanos Moya.	Claves Latinoamericanas, 1987.	['9789688430347 (pbk.)', '968843034X (pbk.)']	848405134X	[]	['16119440']	11267591	3	65	3100	mx	Claves Latinoamericanas
6206	Prose, Francine 1947-	Prose, Francine				Prose, Francine, 1947-	n50020196	112469802	Q2427599	1986	uc1.b4355183	ic	Bigfoot dreams / Francine Prose.	Pantheon Books, 1986.	['9780394549767', '0394549767 :']	0394549767 :	['85043454']	['12974365']	613715	196	664	3204	nyu	Pantheon Books
6207	Prose, Francine 1947-	Prose, Francine				Prose, Francine, 1947-	n50020196	112469802	Q2427599	1978	uc1.b4355182	ic	Animal magnetism / by Francine Prose.	Putnam, c1978.	['9780399121609', '0399121609 :']	0399121609	['77028220']	['3609484']	3944198127	10	142	3204	nyu	Putnam
6208	Pesetsky, Bette 1932-	Pesetsky, Bette				Pesetsky, Bette, 1932-	n81037784	111333588		1983	uc1.b4350623	ic	Author from a savage people / Bette Pesetsky.	Knopf, 1983.	['0394530330']	0394530330	['82048731']	['8929999']	5439021	10	293	87	nyu	Knopf
6209	Dubie, Norman 1945-	Dubie, Norman				Dubie, Norman, 1945-	n78094012	91352332	Q7052170	1983	uc1.b4951632	ic	Selected and new poems / Norman Dubie.	Norton, c1983.	['0393301400 (pbk.)', '0393018172']	0393018172	['83008046']	['9464751']	196546408	161	371	566	nyu	Norton
6210	McPherson, Sandra.	McPherson, Sandra				McPherson, Sandra	n81082863	72717074	Q7416709	1983	uc1.b4951330	ic	Patron happiness / Sandra McPherson.	Ecco Press, 1983.	['0880010223 (pbk.)', '0880010215']	0880010215	['82011490']	['8826538']	3980104964	161	354	3690	nyu	Ecco Press
6211	Hansen, Ron 1947-	Hansen, Ron	Tomes, Margot.			Hansen, Ron, 1947-	n78045940	75895	Q3441396	1987	uc1.b4975909	ic	The shadowmaker / by Ron Hansen ; illustrations by Margot Tomes.	Harper & Row, c1987.	['0060222034 (lib. bdg.) :', '0060222026 :']	0060222026	['85-45272/AC/r87']	['13945449']	7912384	11	856	776	nyu	Harper & Row
6212	Hansen, Ron 1947-	Hansen, Ron				Hansen, Ron, 1947-	n78045940	75895	Q3441396	1990	uc1.b4975908	ic	Desperadoes : a novel / by Ron Hansen.	Norton, 1990.	['0393306801']	0394503503	['89-77453']	['20826712']	12711812	137	1057	776	nyu	Norton
6213	Notley, Alice 1945-	Notley, Alice				Notley, Alice, 1945-	n81121670	34733545	Q4726035	1985	uc1.b4975990	ic	Margaret & Dusty : poems / by Alice Notley.	Coffee House Press : Distribution, Bookslinger, 1985.	['0918273080 (pbk. : alk. paper) :']	0918273080	['84027472']	['11519903']	908326031	155	173	538	mnu	Coffee House Press :
6214	Dubus, Andre 1936-1999	Dubus, Andre				Dubus, Andre, 1936-1999	n79134894	110787061	Q493118	1999	pst.000047254299	ic	Meditations from a movable chair : essays / by Andre Dubus.	Vintage Books, 1999.	['0679751157 (pbk.) :']	067943108X	['97050551']	['41269221']	196090403	32	1039	3855	nyu	Vintage Books
6215	Mukherjee, Bharati.	Mukherjee, Bharati				Mukherjee, Bharati	n50004570	76348204	Q4357833	1997	inu.30000054578822	ic	Leave it to me / Bharati Mukherjee.	Chatto & Windus, 1997.	['0701161833']	0679434275	[]	['37698043']	570057	48	893	171	enk	Chatto & Windus
6216	Hejinian, Lyn.	Hejinian, Lyn				Hejinian, Lyn	n82071099	44325651	Q6708326	1977	inu.39000002975311	ic	A mask of motion / Lyn Hejinian.	Burning Deck, 1977.	[]		[]	['3568035']	8191057	2	59	3672	riu	Burning Deck
6217	Hughes, David 1930-2005	Hughes, David				Hughes, David, 1930-2005	n50033182	12460020	Q1174793	1971	uc1.$b396527	ic	The rosewater revolution: notes on a change of attitude.	Constable, 1971.	['0094570507']	0094570507	['71853142']	['201567']	1254675	2	60	3201	enk	Constable
6218	Carlisle, Henry 1926-	Carlisle, Henry				Carlisle, Henry, 1926-2011	n82232818	116378267	Q5719185	1968	uc1.$b401406	ic	The contract, by Henry Carlisle.	Bobbs-Merrill [1968]	[]		['68027629']	['448634']	1588288	2	58	3648	inu	Bobbs-Merrill
6219	Prose, Francine 1947-	Prose, Francine				Prose, Francine, 1947-	n50020196	112469802	Q2427599	1974	uc1.$b451195	ic	The Glorious Ones.	Atheneum, 1974.	['0689105991']	0689105991	['73091627']	['845315']	437514	180	346	3204	nyu	Atheneum
6220	Hvass, Hans 1902-	Hvass, Hans	Hvass, Hans 1902-	Bly, Robert.		Hvass, Hans, 1902-1990	n50030363	22612779	Q12315387	1960	coo.31924002868507	und	The illustrated book about reptiles and amphibians of the world. text by Robert Bly. Illus. by Wilhelm Eigener.	Grosset & Dunlap [c1960]	[]		[]	['14635293']	3855287323	1	105	5	nyu	Grosset & Dunlap
6221	Castellanos Moya, Horacio 1957-	Castellanos Moya, Horacio	Centro Cultural del Conde Duque (Madrid, Spain)			Castellanos Moya, Horacio, 1957-	n80087278	10068135	Q719545	2004	uc1.31822035602499	ic	Todo incluido : imaÌgenes urbanas de CentroameÌrica / [textos, Horacio Castellanos Moya ... [et al.]]	Centro Cultural Conde Duque, [2004]	['9788496102057', '849610205X']	849610205X	[]	['84671868']	2909252973	2	14	3100	sp	Centro Cultural Conde Duque
6222	Canin, Ethan.	Canin, Ethan				Canin, Ethan	n87840327	110589396	Q528593	1992	inu.30000048050110	ic	Blue river.	Picador ; published by Pan Books, c1992.	['0330324306 (pbk) :']	0395498546	['gb 94003755']	['29792746']	171316	35	1003	1508	enk	Picador ; published by Pan Books
6223	Carver, Raymond 1938-1988	Carver, Raymond				Carver, Raymond, 1938-1988	n80113040	88660538	Q219862	1988	inu.30000004434472	ic	Elephant and other stories / Raymond Carver.	Collins Harvill, 1988.	['0002719126 :']	0002719126	['gb 88015044']	['17585618']	346154603	17	355	3683	enk	Collins Harvill
6224	Carver, Raymond 1938-1988	Carver, Raymond				Carver, Raymond, 1938-1988	n80113040	88660538	Q219862	1987	inu.39000004249475	ic	In a marine light : selected poems / Raymond Carver.	Collins Harvill, 1987, c1986.	['0002719088 :']	0002719088	['gb 87011060']	['15590833']	346154609	1	116	3683	enk	Collins Harvill
6225	Will, Frederic.	Will, Frederic				Will, Frederic	n79089755	29549500	Q5497167	1964	uc1.$b662015	ic	Hereditas; seven essays on the modern experience of the classical.	University of Texas Press [1964]	[]		['64010322']	['327861']	118824288	135	588	4345	txu	University of Texas Press
6226	Castellanos Moya, Horacio 1957-	Castellanos Moya, Horacio				Castellanos Moya, Horacio, 1957-	n80087278	10068135	Q719545	2009	wu.89107144438	ic	Con la congoja de la pasada tormenta : casi todos los cuentos / Horacio Castellanos Moya.	Tusquets Editores, 2009.	['8483831813', '9788483831816']	9788483831816	[]	['441208965']	888766449	8	100	3100	sp	Tusquets Editores
6227	Gardner, John 1933-1982	Gardner, John	Shields, Charles.			Gardner, John, 1933-1982	n79056152	2470610	Q1381985	1976	pst.000043755776	ic	Dragon, dragon, and other tales / John Gardner ; illustrated by Charles Shields.	Bantam, 1976.	['0553150006']	0394831225	[]	['2948728']	1806325148	127	609	3286	xxu	Bantam
6228	Merino, Ana 1971-	Merino, Ana	Polli, Elizabeth tr	Harbor Mountain Press publisher		Merino, Ana, 1971-	no96037249	36511511	Q4290927	2007	uc1.32106019343489	ic	Cell mate / Ana Merino ; translated by Elizabeth Polli	Harbor Mountain Press, c2007	['0978600959', '9780978600952']	9780978600952	[]	['154669312']	53109865	2	146	3104	vtu	Harbor Mountain Press
6229	Leggett, John 1917-	Leggett, John				Leggett, John, 1917-2015	n79026974	51918485	Q18925196	1969	uc1.$b802755	ic	Who took the gold away.	Random House, [1969]	[]		['69016464']	['12567']	1135467	12	319	3085	nyu	Random House
6230	Godwin, Gail.	Godwin, Gail				Godwin, Gail	n50033169	100267478	Q2908695	1970	uc1.$b810074	ic	The perfectionists.	Harper & Row, [1970]	[]		['74095997']	['69446']	1237598	20	578	3459	nyu	Harper & Row
