record_id,wikidata_work_qid,title,creator,released,year_set,years_distant,multiyears,medium,genre,wikipedia_pg,verify_yr,notes,is_episode,predictions,source
shuster_action_1971,Q343615,Action Comics #396–397,Joe Shuster,1971,1990,19,1980s-1990s,comics,comic,https://en.wikipedia.org/wiki/Action_Comics,https://dc.fandom.com/wiki/Action_Comics_Vol_1_397,Year set is median of the periods portrayed in the work.,,"In the 1980s, there was a manned mission to Saturn. In the 1990s, the US National Sea Frontier Project established a giant marine laboratory on the ocean floor. By this time, flying cars were common. Climate control resulted in the Arctic being defrosted. Construction workers were equipped with anti-gravity pulse rays to move heavy objects. Banks had bulletproof glass cages which could be erected to prevent robbers escaping. Lampposts were equipped with automatic fire sensors which alerted the fire department, which used hovercraft that shot out fireproof foam. Ships had flotation collars which could keep them adrift in the event of an emergency. An instant fertilizer existed which allowed crops to grow in seconds.",wikipast
taylor_escape_1971,Q469639,Escape from the Planet of the Apes,Don Taylor,1971,1973,2,,film,science fiction film,https://en.wikipedia.org/wiki/Escape_from_the_Planet_of_the_Apes,,,Q731663,,wikifilm
_countdown_1971,Q5176834,Countdown,,1971,2060,89,,comics,,https://en.wikipedia.org/wiki/Countdown_(Polystyle_Publications),,,,,wikicategory
hulke_colony_1971,Q577226,Colony in Space,Malcolm Hulke,1971,2472,501,,fiction,,https://en.wikipedia.org/wiki/Colony_in_Space,https://www.imdb.com/title/tt0562836/keywords,,,,wikicategory
nbc_tell_1971,Q639433,"""Tell David..."" (from Night Gallery)",NBC,1971,1991,20,,television,fantasy television series,https://en.wikipedia.org/wiki/Night_Gallery,,,Q639433,"In 1991, homes have one-way security windows, video telephones and technology similar to web mapping services.",wikipast
spielberg_l.a._1971,Q6456192,"""L.A. 2017"" (from The Name of the Game)",Steven Spielberg,1971,2017,46,,television,tv series episode,https://en.wikipedia.org/wiki/L.A._2017,,,Q1247960,"After a worldwide ecological disaster, the population of Los Angeles moved underground due to the toxic atmosphere in 1989. In 2017, the United States is a megacorporation and a police state with its capital in Detroit, and at war with the UK.",wikipast
lucas_thx_1971,Q783365,THX 1138,George Lucas,1971,2400,429,,film,science fiction film,https://en.wikipedia.org/wiki/THX_1138,,,,,wikifilm
sagal_omega_1971,Q784610,The Omega Man,Boris Sagal,1971,1977,6,,film,action film,https://en.wikipedia.org/wiki/The_Omega_Man,,,,An adaptation of I Am Legend.,wikipast; wikifilm
daniels_doomsday_1972,Q5297122,The Doomsday Machine,Marc Daniels,1972,1975,3,,film,science fiction film,https://en.wikipedia.org/wiki/Doomsday_Machine_(1972_film),,,,"In 1975, Earth is completely destroyed by a doomsday device created by Red China. The last survivors are denied a place on Venus by the intelligent population.",wikipast
disch_334_1972,Q4635159,334,Thomas M. Disch,1972,2025,53,,fiction,science fiction novel,https://en.wikipedia.org/wiki/334_(novel),,,,,wikicategory; wikitext
dicks_day_1972,Q598044,Day of the Daleks,Terrance Dicks,1972,2100,128,,television,,https://en.wikipedia.org/wiki/Day_of_the_Daleks,,,Q34316,,wikicategory
hayles_curse_1972,Q612051,The Curse of Peladon,Brian Hayles,1972,3885,1913,,television,,https://en.wikipedia.org/wiki/The_Curse_of_Peladon,https://tardis.fandom.com/wiki/The_Curse_of_Peladon_(TV_story),,Q34316,,wikicategory
dicks_mutants_1972,Q619474,The Mutants,Terrance Dicks,1972,2900,928,,television,,https://en.wikipedia.org/wiki/The_Mutants,,,Q34316,,wikicategory
dick_we_1972,Q785091,We Can Build You,Philip K. Dick,1972,1982,10,,fiction,science fiction,https://en.wikipedia.org/wiki/We_Can_Build_You,,,,"By 1982, electronic organs and androids are mass-produced.",wikipast
barbera_sealab_1972,Q928317,Sealab 2020,William Hanna; Joseph Barbera,1972,2020,48,,television,science fiction television program,https://en.wikipedia.org/wiki/Sealab_2020,,,,The opening narration predicts that underwater sea labs will be able to house 250 people.,wikipast
thompson_conquest_1972,Q469646,Conquest of the Planet of the Apes,J. Lee Thompson,1972,1991,19,1983 and 1991,film,science fiction film,,,Majority of work set in year 1991,Q731663,A plague from space killed every dog and cat on Earth in 1983 which led to apes being domesticated and eventually turned into slaves. This in turn led to Caesar's revolution against humanity in 1991.,wikipast; wikifilm
kaufmann_teenage_1972,Q23796680,Teenage Hitchhikers,Jerome S. Kaufmann,1972,1975,3,,film,comedy film,https://en.wikipedia.org/wiki/Teenage_Hitchhikers,,,,,wikicategory
malzberg_beyond_1972,Q4899922,Beyond Apollo,Barry N. Malzberg,1972,1981,9,,fiction,science fiction novel,https://en.wikipedia.org/wiki/Beyond_Apollo,,,,,wikicategory
silverberg_second_1972,Q7762970,The Second Trip,Robert Silverberg,1972,2011,39,,fiction,science fiction,https://en.wikipedia.org/wiki/The_Second_Trip,,,,,wikicategory; wikitext
dicks_planet_1973,Q1029967,Planet of the Daleks,Terrance Dicks,1973,2500,527,,television,,https://en.wikipedia.org/wiki/Planet_of_the_Daleks,,,Q34316,,wikicategory
letts_moonbase_1973,Q4044508,Moonbase 3,Barry Letts,1973,2003,30,,television,science fiction television program,https://en.wikipedia.org/wiki/Moonbase_3,,,,"By 2003, five world powers have established colonies on the Moon: the United States (Moonbase 1), the Soviet Union (Moonbase 2), Europe (Moonbase 3), China (Moonbase 4) and Brazil (Moonbase 5). The European Moonbase 3 was established in 1995.[75]",wikipast; wikitext
scott_drive-in_1973,Q599931,Drive-In Saturday,Ken Scott,1973,2033,60,,fiction,glam rock,https://en.wikipedia.org/wiki/Drive-In_Saturday,,,,,wikicategory
allen_sleeper_1973,Q750003,Sleeper,Woody Allen,1973,2173,200,,film,science fiction film,https://en.wikipedia.org/wiki/Sleeper_(1973_film),,,,,wikifilm; wikidata; wikicategory
hulke_frontier_1973,Q769759,Frontier in Space,Malcolm Hulke,1973,2540,567,,television,,https://en.wikipedia.org/wiki/Frontier_in_Space,https://tardis.fandom.com/wiki/Frontier_in_Space_(TV_story),,Q34316,,wikicategory
ellison_starlost_1973,Q7766322,The Starlost,Harlan Ellison,1973,2790,817,,fiction,science fiction television program,https://en.wikipedia.org/wiki/The_Starlost,,,,,wikicategory
fleischer_soylent_1973,Q426196,Soylent Green,Richard Fleischer,1973,2022,49,,film,science fiction film,https://en.wikipedia.org/wiki/Soylent_Green,,,,,wikicategory; wikifilm; wikitext
thompson_battle_1973,Q469654,Battle for the Planet of the Apes,J. Lee Thompson,1973,2670,697,2001-2670,film,science fiction film,https://en.wikipedia.org/wiki/Battle_for_the_Planet_of_the_Apes,,"“La date de l'action semble d'ailleurs imprécise et diffère selon les supports: 2001, 2004, 2018, 2020.” Citing Rich Handley, Timeline of the Planet of the Apes : The Definitive Chronology, New York, Hasslein Books, 2008. https://fr.wikipedia.org/wiki/La_Bataille_de_la_plan%C3%A8te_des_singes",Q731663,"A nuclear war took place between 1991 and the ""turn of the 21st century.""",wikifilm; wikicategory; wikipast
crichton_westworld_1973,Q503343,Westworld,Michael Crichton,1973,1983,10,,film,action film,https://en.wikipedia.org/wiki/Westworld_(film),,,,Set mainly in a theme park filled with androids.[49],wikifilm; wikipast
roddenberry_genesis_1973,Q5532816,Genesis II,John Llewellyn Moxey; Gene Roddenberry,1973,2133,160,"1979, 2133",film,science fiction film,https://en.wikipedia.org/wiki/Genesis_II_(film),,Majority of work set in year 2133,,"The movie opens in 1979, with the main character entering suspended animation. The bulk of the film (and the subsequent series, if it had been picked up) takes place in 2133.[50]",wikicategory; wikifilm; wikipast
roddenberry_star_1973,Q20922,Star Trek: The Animated Series,Gene Roddenberry,1973,2269,296,2269-2270,television,science fiction television program,https://en.wikipedia.org/wiki/Star_Trek:_The_Animated_Series,https://memory-alpha.fandom.com/wiki/Star_Trek:_The_Animated_Series,,Q1092,,wikidata
marshall_urban_1973,Q7900177,Urban the Ninth,Bruce Marshall,1973,1990,17,,fiction,,https://en.wikipedia.org/wiki/Urban_the_Ninth,,,,,wikicategory
gibson_satanic_1973,Q1254444,The Satanic Rites of Dracula,Alan Gibson,1973,1974,1,,film,horror film,https://en.wikipedia.org/wiki/The_Satanic_Rites_of_Dracula,,,,,wikicategory
clarke_rendezvous_1973,Q741222,Rendezvous with Rama,Arthur C. Clarke,1973,2131,158,,fiction,science fiction,https://en.wikipedia.org/wiki/Rendezvous_with_Rama,,,,,wikicategory
boorman_zardoz_1974,Q147845,Zardoz,John Boorman,1974,2293,319,,film,science fiction film,https://en.wikipedia.org/wiki/Zardoz,,,,,wikicategory; wikidata; wikifilm
dicks_monster_1974,Q1771372,The Monster of Peladon,Terrance Dicks,1974,3935,1961,,television,,https://en.wikipedia.org/wiki/The_Monster_of_Peladon,https://tardis.fandom.com/wiki/The_Monster_of_Peladon_(TV_story),,Q34316,,wikicategory
cbs_planet_1974,Q1836927,Planet of the Apes,CBS,1974,3085,1111,,television,science fiction television program,https://en.wikipedia.org/wiki/Planet_of_the_Apes_(TV_series),https://planetoftheapes.fandom.com/wiki/Planet_of_the_Apes_(TV_Series),,Q731663,,wikicategory
ard_telerop_1974,Q2401905,Telerop 2009 – Es ist noch was zu retten,ARD,1974,2009,35,,television,science fiction television program,https://en.wikipedia.org/wiki/Telerop_2009_–_Es_ist_noch_was_zu_retten,,,,"As a result of environmental pollution during the 1970s and the 1980s, the natural environment has largely been destroyed in 2009. The use of pesticides killed off plants with only insects surviving, water is scarce and smog is a permanent problem. Germany has partly turned to a steppe landscape and the share of oxygen in the air has fallen to 16%.[100]",wikipast
nichols_partridge_1974,Q3284379,Partridge Family 2200 A.D.,Charles August Nichols,1974,2200,226,,television,,https://en.wikipedia.org/wiki/Partridge_Family_2200_A.D.,,,,,wikicategory
masuda_prophecies_1974,Q6377202,Prophecies of Nostradamus,Toshio Masuda,1974,1999,25,,film,science fiction film,https://en.wikipedia.org/wiki/Prophecies_of_Nostradamus,,,,"Examines an interpretation of the prophecies of Nostradamus; in particular Quatrian 10–72: ""In the year 1999 and seven months from the skies will come the great king of terror"".",wikipast
waldrop_texas-israeli_1974,Q7768583,The Texas-Israeli War: 1999,Howard Waldrop,1974,1999,25,1983-1999,fiction,science fiction,https://en.wikipedia.org/wiki/The_Texas-Israeli_War:_1999,,Majority of work set in 1999,,"In 1983, the nations of the world agreed to the Oslo Disarmament, resulting in nuclear stockpiles being severely reduced. In the early 1990s, the Republic of Ireland declared war on the UK, conquered Northern Ireland and expelled Protestants from that region. In August 1992, Irish commandos introduced LSD into the water supplies of much of the UK. Under the influence of the drug, the Prime Minister and Parliament ordered the use of nuclear weapons against Ireland and her allies, South Africa and China. The Commonwealth backed the UK in the emerging World War III. By the end of 1992, half of the world's population was dead; 90% had perished from plague and famine by 1994. Texas declared its independence from the United States and became the Second Republic of Texas. It went to war with Israel in 1999.",wikipast
dick_flow_1974,Q874492,"Flow My Tears, the Policeman Said",Philip K. Dick,1974,1988,14,,fiction,suspense in literature,"https://en.wikipedia.org/wiki/Flow_My_Tears,_the_Policeman_Said",,,,"In 1988, the United States is a fascist police state following a Second Civil War. The black population is nearly extinct and personal aircraft are common.",wikipast
merle_malevil_1974,Q929165,Malevil,Robert Merle,1974,1977,3,The late 20th century,fiction,science fiction,https://en.wikipedia.org/wiki/Malevil,,"Full text shows years depicted 1970-1980, with most events mentioned in 1977.",,Set in a French castle during the outbreak of a nuclear war. Was made into a film in 1981.,wikipast
piserchia_pale_1974,Q116646182,Pale Hands,Doris Piserchia,1974,2021,47,,fiction,,,,,,,wikidata
bulychev_alisa's_1974,Q4384250,Alisa's Voyage,Kir Bulychev,1974,2074,100,,fiction,space opera,,,,,,wikidata
masuda_space_1974,Q4292,Space Battleship Yamato,Toshio Masuda,1974,2199,225,,comics,science fiction anime and manga,https://en.wikipedia.org/wiki/Space_Battleship_Yamato,,,Q107426372,,wikicategory
carpenter_dark_1974,Q506580,Dark Star,John Carpenter,1974,2150,176,,film,science fiction film,https://en.wikipedia.org/wiki/Dark_Star_(film),,,,,wikicategory; wikidata; wikifilm
daniels_planet_1974,Q7201081,Planet Earth,Marc Daniels,1974,2133,159,,film,post-apocalyptic film,https://en.wikipedia.org/wiki/Planet_Earth_(film),,,,,wikicategory; wikifilm
king_carrie_1974,Q623394,Carrie,Stephen King,1974,1979,5,,fiction,epistolary novel,https://en.wikipedia.org/wiki/Carrie_(novel),,,,,wikicategory
white_dream_1974,Q7730933,The Dream Millennium,James White,1974,2170,196,,fiction,science fiction,https://en.wikipedia.org/wiki/The_Dream_Millennium,,,,,wikicategory
austin_space_1975,Q1045743,Space: 1999,Ray Austin,1975,1999,24,1999-2006,television,science fiction television program,https://en.wikipedia.org/wiki/Space:_1999,,Majority of work set in 1999,,"The Moon is knocked out of the Earth's orbit on September 13, 1999.",wikipast; wikitext
clouse_ultimate_1975,Q1766487,The Ultimate Warrior,Robert Clouse,1975,2012,37,,film,action film,https://en.wikipedia.org/wiki/The_Ultimate_Warrior_(film),,,,"In 2012, a virus holocaust has devastated the planet.",wikipast
nbc_return_1975,Q2134905,Return to the Planet of the Apes,NBC,1975,3979,2004,,television,science fiction television program,https://en.wikipedia.org/wiki/Return_to_the_Planet_of_the_Apes,https://planetoftheapes.fandom.com/wiki/Flames_of_Doom,,Q731663,,wikicategory
marter_ark_1975,Q3332877,The Ark in Space,Ian Marter,1975,16087,14112,,television,,https://en.wikipedia.org/wiki/The_Ark_in_Space,,,Q34316,,wikicategory
marter_sontaran_1975,Q3476317,The Sontaran Experiment,Ian Marter,1975,16087,14112,,television,,https://en.wikipedia.org/wiki/The_Sontaran_Experiment,,,Q34316,,wikicategory
dicks_revenge_1975,Q3813602,Revenge of the Cybermen,Terrance Dicks,1975,2900,925,,television,,https://en.wikipedia.org/wiki/Revenge_of_the_Cybermen,,,Q34316,,wikicategory
schweitzer_flight_1975,Q4080538,The Flight of Mr. McKinley,Mikhail Schweitzer,1975,2225,250,,film,science fiction film,https://en.wikipedia.org/wiki/The_Flight_of_Mr._McKinley,,,,,wikicategory
dicks_planet_1975,Q4349121,Planet of Evil,Terrance Dicks,1975,37166,35191,,television,,https://en.wikipedia.org/wiki/Planet_of_Evil,,,Q34316,,wikicategory
butler_strange_1975,Q7621435,Strange New World,Robert Butler,1975,2155,180,,film,science fiction film,https://en.wikipedia.org/wiki/Strange_New_World_(film),,,,,wikifilm
broadcasting_lost_1975,Q7748722,The Lost Saucer,American Broadcasting Company,1975,2369,394,,fiction,science fiction television program,https://en.wikipedia.org/wiki/The_Lost_Saucer,,,,,wikicategory
kirby_mark_1975,Q90480072,Mark Shaw,Jack Kirby,1975,2070,95,,comics,,https://en.wikipedia.org/wiki/Manhunter_(Mark_Shaw),,,,,wikicategory
shan_super_1975,Q3085370,The Super Inframan,Hua Shan,1975,2015,40,,film,action film,https://en.wikipedia.org/wiki/Infra-Man,,,,,wikidata
jones_boy_1975,Q1194657,A Boy and His Dog,L. Q. Jones,1975,2024,49,,film,science fiction film,https://en.wikipedia.org/wiki/A_Boy_and_His_Dog_(1975_film),,,,,wikicategory; wikifilm
jewison_rollerball_1975,Q627209,Rollerball,Norman Jewison,1975,2018,43,,film,action film,https://en.wikipedia.org/wiki/Rollerball_(1975_film),,,,"By 2018, the world is a corporate dictatorship. US football is no longer an active sport and rollerball is the only sport shown on cable television. Books are replaced by summaries on computers. Households have about four television monitors in a room. People are required to stay home to watch sports.[57] The reboot is set only three years into its future and is regarded more as contemporary.[7][6]",wikifilm; wikipast
bartel_death_1975,Q647870,Death Race 2000,Paul Bartel,1975,2000,25,,film,action film,https://en.wikipedia.org/wiki/Death_Race_2000,,,,Predicts the collapse of the United States economy in 1979. The remaining form of entertainment is a transcontinental car race where innocent bystanders can be hit and killed for points.[6],wikifilm; wikipast
lazaga_long_1975,Q302570,A Long Return,Pedro Lazaga,1975,2014,39,,film,drama film,https://en.wikipedia.org/wiki/A_Long_Return,,,,,wikicategory
fuentes_terra_1975,Q209632,Terra Nostra,Carlos Fuentes,1975,1999,24,,fiction,literary realism,https://en.wikipedia.org/wiki/Terra_Nostra_(novel),,,,,wikicategory
king_'salem's_1975,Q753290,'Salem's Lot,Stephen King,1975,1976,1,,fiction,vampire fiction,https://en.wikipedia.org/wiki/'Salem's_Lot,,,,,wikicategory
comely_captain_1975,Q145251,Captain Canuck #1-14,Richard Comely,1975,1993,18,,comics,,https://en.wikipedia.org/wiki/Captain_Canuck,,,,Predicted Canada would become the most powerful country in the world by 1993.,wikipast
smith_imperial_1976,Q15033870,Imperial Stars,Edward Elmer Smith,1976,2447,471,,fiction,science fiction,https://en.wikipedia.org/wiki/Imperial_Stars,,,,,wikicategory
ruby_jabberjaw_1976,Q2569415,Jabberjaw,Joe Ruby,1976,2076,100,,television,comedy television series,https://en.wikipedia.org/wiki/Jabberjaw,https://www.imdb.com/title/tt0177447/keywords,,,,wikicategory
two_2001_1976,Q4598409,"""2001 and a Bit"" (from The Goodies)",BBC Two,1976,2001,25,,television,tv series episode,https://en.wikipedia.org/wiki/2001_&_A_Bit,,,Q3987329,"In 2001, cricket has somehow died out, and the sons of the Goodies must find a way to revive it.",wikipast
kerbosch_any_1976,Q4778130,Any Day Now (Vandaag of Morgen),Roeland Kerbosch,1976,2006,30,,film,science fiction film,https://en.wikipedia.org/wiki/Any_Day_Now_(1976_film),,,,,wikifilm
cbs_ark_1976,Q4791638,Ark II,CBS,1976,2476,500,,television,science fiction television program,https://en.wikipedia.org/wiki/Ark_II,,,,,wikicategory
asimov_winnowing_1976,Q661438,"""The Winnowing""",Isaac Asimov,1976,2005,29,,fiction,short story,https://en.wikipedia.org/wiki/The_Winnowing,,,,"In 2005, Earth is experiencing acute famine due to its population of six billion.[105]",wikipast
israel_tunnel_1976,Q7853301,Tunnel Vision,Neal Israel,1976,1985,9,,film,anthology film,https://en.wikipedia.org/wiki/Tunnel_Vision_(1976_film),,,,"In 1985, a new television network called TunnelVision is entirely free of censorship (aided by a new Bill of Rights, written in 1983). George Wallace won the 1976 presidential election and served one term.",wikipast
asimov_tercentenary_1976,Q831807,The Tercentenary Incident,Isaac Asimov,1976,2076,100,,fiction,short story,https://en.wikipedia.org/wiki/The_Tercentenary_Incident,,,,,wikicategory
heffron_futureworld_1976,Q1475648,Futureworld,Richard T. Heffron,1976,1985,9,,film,action film,https://en.wikipedia.org/wiki/Futureworld,,,,Sequel to Westworld and also set mainly in a theme park filled with androids.[49],wikifilm; wikipast
anderson_logan's_1976,Q503018,Logan's Run,Michael Anderson,1976,2274,298,,film,action film,https://en.wikipedia.org/wiki/Logan's_Run_(film),,,,,wikicategory; wikidata; wikifilm
johns_superman_1976,Q520306,Superman #300,Dan Jurgens; Joe Shuster; Geoff Johns,1976,1990,14,,comics,comic,https://en.wikipedia.org/wiki/Superman_(comic_book),,,Q520306,"By 1990, the New Empire State Building has regained its status as the tallest building in the world, an impenetrable dome has been built around the White House to protect the US president and a moonbase has been built by the United States, equipped with a destructive laser beam weapon. In that year, World War III was averted by Skyboy, who came to Earth in 1976. 3D television known as Tri-Vision was invented prior to 2001. On January 1, 2001, Boston, New York City, Philadelphia and Washington, DC merged to form the huge city of Metropolis.",wikipast
cussler_raise_1976,Q287838,Raise the Titanic!,Clive Cussler,1976,1987,11,,fiction,adventure fiction,https://en.wikipedia.org/wiki/Raise_the_Titanic!,,,,,wikicategory
dicks_pyramids_1976,Q4997878,Pyramids of Mars,Terrance Dicks,1976,1980,4,,television,,https://en.wikipedia.org/wiki/Pyramids_of_Mars,,,Q34316,,wikicategory
asimov_marching_1976,Q3845815,Marching In,Isaac Asimov,1976,2001,25,,fiction,science fiction short story,https://en.wikipedia.org/wiki/Marching_In,,,,,wikicategory
silverberg_shadrach_1976,Q3481184,Shadrach in the Furnace,Robert Silverberg,1976,2012,36,,fiction,science fiction,https://en.wikipedia.org/wiki/Shadrach_in_the_Furnace,,,,,wikicategory
piercy_woman_1976,Q8030746,Woman on the Edge of Time,Marge Piercy,1976,2137,161,,fiction,,https://en.wikipedia.org/wiki/Woman_on_the_Edge_of_Time,,"“Luciente is time-traveling from a future (the date is given as 2137), in which a number of goals of the political and social agenda of the late 1960s and early 1970s radical movements have been fulfilled.”",,,wikitext
dick_scanner_1977,Q1198489,A Scanner Darkly,Philip K. Dick,1977,1994,17,,fiction,science fiction,https://en.wikipedia.org/wiki/A_Scanner_Darkly,,,,"A narcotics agent wears a ""scramble suit"" that hides his identity and uses video to spy on a drug-using household. Made into a film in 2006.",wikipast
smight_damnation_1977,Q1289046,Damnation Alley,Jack Smight,1977,1979,2,,film,science fiction film,https://en.wikipedia.org/wiki/Damnation_Alley_(film),,,,,wikifilm
greatorex_1990_1977,Q135128,1990,Wilfred Greatorex,1977,1990,13,1983-1990,television,drama television series,https://en.wikipedia.org/wiki/1990_(TV_series),,Majority of work set in year 1990,,"A bureaucratic dictatorship has ruled the UK since it went bankrupt in 1983. The Magna Carta, the Constitution and habeas corpus were ""thrown out."" There was a failed coup to overthrow the regime in 1986. The UK's currency is the Anglodollar. The government is attempting to curb population. The House of Commons has only 400 MPs and only 20% of the population voted in the last general election. The House of Lords was abolished and converted into a dining club. By this time, the UK has a king. There were major riots in 1985 as a result of 18,000 houses being demolished and ghettos being established in their place. The Isle of Man declared independence prior to 1990. At this time, the United States had its own equivalent of the National Health Service. The series correctly predicted that parliamentary speeches would be televised by 1990.",wikipast
otsuka_dinosaur_1977,Q2278068,Dinosaur War Izenborg,Kanji Otsuka,1977,1986,9,,television,tokusatsu,https://en.wikipedia.org/wiki/Dinosaur_War_Izenborg,,,,"Talking dinosaurs return to conquer Earth. The US film edit, War of the Super Monsters is set in the year 2000.",wikipast
nolan_logan's_1977,Q3205038,Logan's Run,William F. Nolan,1977,2300,323,,television,science fiction television program,https://en.wikipedia.org/wiki/Logan's_Run_(TV_series),,,,,wikicategory
dicks_invisible_1977,Q3475490,The Invisible Enemy,Terrance Dicks,1977,5000,3023,,television,,https://en.wikipedia.org/wiki/The_Invisible_Enemy_(Doctor_Who),https://tardis.fandom.com/wiki/The_Invisible_Enemy_(TV_story),,Q34316,,wikicategory
giffen_invasion_1977,Q3800862,Invasion!,Bill Mantlo; Keith Giffen,1977,1990,13,,comics,crossover fiction,https://en.wikipedia.org/wiki/Invasion!_(DC_Comics),,,,"A fascist Russia invades the UK. The sequel series Savage, published from 2004 to the present, treats the events as alternate history.",wikipast
bridwell_all-new_1977,Q4496865,The All-New Super Friends Hour,E. Nelson Bridwell,1977,3000,1023,,television,,https://en.wikipedia.org/wiki/The_All-New_Super_Friends_Hour,,,,,wikicategory
henry_quark_1977,Q7269159,Quark,Buck Henry,1977,2226,249,,television,science fiction television program,https://en.wikipedia.org/wiki/Quark_(TV_series),,,,,wikicategory
_judge_1977,Q85772276,Judge Dredd,,1977,2099,122,,comics,,https://en.wikipedia.org/wiki/Judge_Dredd,,The series is still running and each story is always set exactly 122 years after its publication (so stories published in 2023 are set in 2145),Q85772276,,wikicategory
fukuda_war_1977,Q2483375,The War in Space,Jun Fukuda,1977,1988,11,,film,science fiction film,https://en.wikipedia.org/wiki/The_War_in_Space,,,,"Space combat is routine and a ""United Nations Space Force"" is established.",wikifilm; wikipast
masuda_space_1977,Q3693349,Space Battleship Yamato,Toshio Masuda,1977,2199,222,,film,science fiction anime and manga,https://en.wikipedia.org/wiki/Space_Battleship_Yamato_(1977_film),https://www.imdb.com/title/tt0204704/,,Q107426372,,wikicategory; wikidata
priest_dream_1977,Q4656592,A Dream of Wessex,Christopher Priest,1977,1985,8,,fiction,science fiction,https://en.wikipedia.org/wiki/A_Dream_of_Wessex,,,,,wikicategory
finley_invasion_1977,Q6059534,Invasion!,Gerry Finley-Day,1977,1999,22,,comics,,https://en.wikipedia.org/wiki/Invasion!_(2000_AD),,,,,wikitext
rintaro_jetter_1977,Q2574595,Jetter Mars,Rintaro,1977,2015,38,,television,science fiction anime and manga,https://en.wikipedia.org/wiki/Jetter_Mars,,,,,wikitext
decamp_hostage_1977,Q15033856,The Hostage of Zir,L. Sprague de Camp,1977,2148,171,,fiction,science fiction novel,https://en.wikipedia.org/wiki/The_Hostage_of_Zir,,,Q7924459,,wikicategory
fuji_starzinger_1978,Q1185494,Starzinger,Fuji Television,1978,2072,94,,television,action anime and manga,https://en.wikipedia.org/wiki/Starzinger,,,,,wikicategory
warner_time_1978,Q1247495,"""Time Bomb"" (from Wonder Woman)",Warner Bros.,1978,2007,29,,television,action television series,https://en.wikipedia.org/wiki/Wonder_Woman_(TV_series),,,Q1247495,A 22nd century time traveler refers to a nuclear apocalypse in 2007.,wikipast
kaufman_star_1978,Q15040824,Star Trek: Planet of the Titans,Philip Kaufman,1978,2200,222,,film,science fiction film,https://en.wikipedia.org/wiki/Star_Trek:_Planet_of_the_Titans,,,Q1092,,wikicategory
matsumoto_farewell_1978,Q2075958,Farewell to Space Battleship Yamato,Leiji Matsumoto,1978,2202,224,,film,action film,https://en.wikipedia.org/wiki/Farewell_to_Space_Battleship_Yamato,,,Q107426372,,wikicategory
burgess_1985_1978,Q208461,1985,Anthony Burgess,1978,1985,7,,fiction,satirical fiction,https://en.wikipedia.org/wiki/1985_(Burgess_novel),,,,"Written at a time when trade unions in the United Kingdom had reached a peak of power prior to the union-breaking policies of Margaret Thatcher, it predicts a 1985 in which the UK is completely in thrall to unions, and unions exist for every conceivable profession.",wikipast
bridwell_challenge_1978,Q2466673,Challenge of the Super Friends,E. Nelson Bridwell,1978,3000,1022,,television,,https://en.wikipedia.org/wiki/Challenge_of_the_Superfriends,,,,,wikicategory
_strontium_1978,Q3246907,Strontium Dog,,1978,2180,202,,comics,,https://en.wikipedia.org/wiki/Strontium_Dog,,,,,wikicategory; wikitext
dicks_androids_1978,Q5507195,The Androids of Tara,Terrance Dicks,1978,2300,322,,television,,https://en.wikipedia.org/wiki/The_Androids_of_Tara,,,Q34316,,wikicategory
animation_future_1978,Q63981734,Future Boy Conan,Nippon Animation,1978,2008,30,,television,anime series,,,,,"In July 2008, the Earth's continents are violently torn apart by a nuclear war, sinking most of them under the sea.",wikipast
barillé_once_1978,Q767850,Once Upon a Time... Man,Albert Barillé,1978,2150,172,,television,children's television series,https://en.wikipedia.org/wiki/Once_Upon_a_Time..._Man,,,,,wikicategory
bulychev_one_1978,Q4442672,One Hundred Years Ahead,Kir Bulychev,1978,2082,104,,fiction,speculative/fantastic fiction,,,,,,wikidata
arkush_deathsport_1978,Q1134750,Deathsport,Roger Corman; Allan Arkush,1978,3000,1022,,film,action film,https://en.wikipedia.org/wiki/Deathsport,,,,,wikicategory; wikifilm
pierce_turner_1978,Q1542194,The Turner Diaries,William Luther Pierce,1978,1983,5,"1983, 2099",fiction,epistolary novel,https://en.wikipedia.org/wiki/The_Turner_Diaries,,Majority of work set in year 1983,,1991 in later editions. Depicts the violent overthrow of the US government by racist terrorists and a subsequent global race war.,wikicategory; wikipast
nhk_future_1978,Q697616,Future Boy Conan,NHK,1978,2008,30,,television,drama anime and manga,https://en.wikipedia.org/wiki/Future_Boy_Conan,,,,,wikicategory
benford_in_1978,Q3015377,In the Ocean of Night,Gregory Benford,1978,1999,21,,fiction,hard science fiction,https://en.wikipedia.org/wiki/In_the_Ocean_of_Night,,"Originally set in 1999, the second edition of the work (1985) changes the set in date to 2019.",,,wikicategory
schaffner_boys_1978,Q464111,The Boys from Brazil,Franklin J. Schaffner,1978,1979,1,,film,science fiction film,https://en.wikipedia.org/wiki/The_Boys_from_Brazil_(film),,,,,wikicategory
kolbe_battlestar_1978,Q2367132,Battlestar Galactica,Winrich Kolbe,1978,1980,2,,television,science fiction television program,https://en.wikipedia.org/wiki/Battlestar_Galactica_(1978_TV_series),,,,,wikitext
scott_alien_1979,Q103569,Alien,Ridley Scott,1979,2122,143,,film,horror film,https://en.wikipedia.org/wiki/Alien_(film),,,Q26996109,,wikifilm
